,MealType,Title,ImageUrl,Ingredient,DetailUrl
0,breakfast,Keto Sausage Breakfast Casserole,http://cdn.ruled.me/wp-content/uploads/2016/11/sausage-breakfast-casserole-featured.jpg,"1 lb. pork sausage // 2 cups diced zucchini // 2 cups green cabbage, shredded // ½ cup diced onion // 3 large eggs // ½ cup mayonnaise // 2 tsp. prepared yellow mustard // 1 tsp. dried ground sage // 1 ½ cups cheddar cheese, shredded and divided // Cayenne pepper to taste",http://www.ruled.me/keto-sausage-breakfast-casserole/#disqus_thread
1,breakfast,Savory Sage and Cheddar Waffles,http://cdn.ruled.me/wp-content/uploads/2016/11/waffles-featured.jpg,"1 1/3 cup coconut flour, sifted // 3 tsp. baking powder // 1 tsp. dried ground sage // ½ tsp. salt // ¼ tsp. garlic powder // 2 cups canned coconut milk // ½ cup water // 2 whole eggs // 3 Tbsp. coconut oil, melted // 1 cup cheddar cheese, shredded",http://www.ruled.me/savory-sage-cheddar-waffles/#disqus_thread
2,breakfast,Mini Pumpkin Spice Muffins,http://cdn.ruled.me/wp-content/uploads/2016/10/mini-pumpkin-muffins-featured.jpg,"3/4 cup canned pumpkin // 1/4 cup organic no sugar added sunflower seed butter // 1 large egg, room temperature // 1/2 cup erythritol // 1/4 cup organic coconut flour, sifted // 2 Tbsp. organic flaxseed meal // 1 tsp. ground cinnamon // 1/2 tsp. ground nutmeg // 1/2 tsp. baking soda // 1/2 tsp. baking powder // 1/4 tsp. salt // Optional topping: ½ tsp. plain cream cheese per muffin (you will need 3 Tbsp. of cream cheese for all the muffins.)",http://www.ruled.me/mini-pumpkin-spice-muffins/#disqus_thread
3,breakfast,Keto Lemon Poppyseed Muffins,http://cdn.ruled.me/wp-content/uploads/2016/03/LemonPoppySeedMuffins.jpg,"3/4 cup Blanched Almond Flour // 1/4 cup Golden Flaxseed Meal // 1/3 cup Erythritol // 1 tsp. Baking Powder // 2 tbsp. Poppy Seeds // 1/4 cup Salted Butter, melted // 1/4 cup Heavy Cream // 3 large Eggs // Zest of 2 Lemons // 3 tbsp. Lemon Juice // 1 tsp. Vanilla Extract // 25 drops Liquid Stevia",http://www.ruled.me/keto-lemon-poppyseed-muffins/#disqus_thread
4,breakfast,Keto White Pizza Frittata,http://cdn.ruled.me/wp-content/uploads/2016/01/WhitePizzaFrittataOverhead.jpg,12 large Eggs // 9oz. bag Frozen Spinach // 1 oz. Pepperoni // 5 oz. Mozzarella Cheese // 1 tsp. Minced Garlic // 1/2 cup Fresh Ricotta Cheese // 1/2 cup Parmesan Cheese // 4 tbsp. Olive Oil // 1/4 tsp. Nutmeg // Salt and Pepper to Taste,http://www.ruled.me/keto-white-pizza-frittata/#disqus_thread
5,breakfast,Low Carb Mock McGriddle Casserole,http://cdn.ruled.me/wp-content/uploads/2016/01/McGriddleBreakfastLoaf.jpg,1 cup Almond Flour // 1/4 cup Flaxseed Meal // 1 lb. Breakfast Sausage // 10 large Eggs // 4 oz. Cheddar Cheese // 6 tbsp. Walden Farms Maple Syrup // 4 tbsp. Butter // 1/2 tsp. Onion Powder // 1/2 tsp. Garlic Powder // 1/4 tsp. Sage // Salt and Pepper to Taste,http://www.ruled.me/low-carb-mock-mcgriddle-casserole/#disqus_thread
6,breakfast,Keto Breakfast Brownie Muffins,http://cdn.ruled.me/wp-content/uploads/2015/12/Muffins2.jpg,1 cup Golden Flaxseed Meal // 1/4 cup Cocoa Powder // 1 tbsp. Cinnamon // 1/2 tbsp. Baking Powder // 1/2 tsp. Salt // 1 large Egg // 2 tbsp. Coconut Oil // 1/4 cup Sugar-free Caramel Syrup // 1/2 cup Pumpkin Puree // 1 tsp. Vanilla Extract // 1 tsp. Apple Cider Vinegar // 1/4 cup Slivered Almonds,http://www.ruled.me/keto-breakfast-brownie-muffins/#disqus_thread
7,breakfast,Keto Breakfast Tacos,http://cdn.ruled.me/wp-content/uploads/2015/11/Tacos-final.jpg,"1 cup Mozzarella Cheese, shredded // 6 large Eggs // 2 tbsp. Butter // 3 strips Bacon // 1/2 small Avocado // 1 oz. Cheddar Cheese, shredded // Salt and Pepper to Taste",http://www.ruled.me/keto-breakfast-tacos/#disqus_thread
8,breakfast,Breakfast Keto Pizza Waffles,http://cdn.ruled.me/wp-content/uploads/2015/07/breakfastwafflepizza-700x350.jpg,4 large Eggs // 4 tbsp. Parmesan Cheese // 3 tbsp. Almond Flour // 1 tbsp. Psyllium Husk Powder // 1 tbsp. Bacon Grease (or Butter) // 1 tsp. Baking Powder // 1 tsp. Italian Seasoning (or spices of choice) // Salt and Pepper to Taste // 1/2 cup Tomato Sauce (we use Rao’s) // 3 oz. Cheddar Cheese // 14 slices Pepperoni (optional),http://www.ruled.me/breakfast-keto-pizza-waffles/#disqus_thread
9,breakfast,Keto Breakfast Burger,http://cdn.ruled.me/wp-content/uploads/2015/07/breakfastburger-700x350.jpg,4 oz. Sausage (2 oz. per serving) // 2 oz. Pepperjack Cheese // 4 slices Bacon // 2 large Eggs // 1 tbsp. Butter // 1 tbsp. PB Fit Powder // Salt and Pepper to Taste,http://www.ruled.me/keto-breakfast-burger/#disqus_thread
