,MealType,Title,ImageUrl,Ingredient,DetailUrl
0,condiments,Fire and Ice Pickles,http://cdn.ruled.me/wp-content/uploads/2015/08/fireicepickles1-700x350.jpg,"6 oz. Cucumber // 2 tbsp. White Onion, Chopped // 1/4 cup Erythritol // 1/2 cup White Vinegar // 1/2 cup Water // 1/2 tsp. Red Pepper Flakes // 1/2 tsp. Cayenne Pepper // 1/4 tsp. Celery Seeds // 15 drops Stevia // Salt and Pepper to Taste",http://www.ruled.me/fire-and-ice-pickles/#disqus_thread
1,condiments,5 Minute Keto Pesto,http://cdn.ruled.me/wp-content/uploads/2015/07/5minuteketopesto-700x350.jpg,1 1/2 cups Basil // 1/3 cup Pine Nuts (toasted) // 3/4 cup Parmesan // 2/3 cup Olive Oil // 1 tsp. Minced Garlic // 2 tsp. Tomato Paste // Salt and Pepper to taste,http://www.ruled.me/5-minute-keto-pesto/#disqus_thread
2,condiments,5 Minute Keto Raspberry Vinaigrette,http://cdn.ruled.me/wp-content/uploads/2015/06/5minuteraspberryvinaigrette-700x350.jpg,1/2 cup Golden Raspberries // 1/2 cup White Wine Vinegar // 1/2 cup Extra Virgin Olive Oil // 35 drops Liquid Stevia,http://www.ruled.me/5-minute-keto-raspberry-vinaigrette/#disqus_thread
3,condiments,Low Carb Blackberry Chipotle Jam,http://cdn.ruled.me/wp-content/uploads/2015/04/blackberrychipotlejam-700x350.jpg,8 oz. Blackberries // 1 1/2 Chipotle in Adobo (1 1/2 whole chipotle peppers) // 1/4 cup Erythritol // 8 drops Liquid Stevia // 1/4 cup MCT Oil // 1/4 tsp. Guar Gum,http://www.ruled.me/low-carb-blackberry-chipotle-jam/#disqus_thread
4,condiments,Keto 5 Minute Caesar Dressing,http://cdn.ruled.me/wp-content/uploads/2015/03/ketocaesardressing-700x350.jpg,"3 cloves Garlic, finely minced // 1.5 tsp. Anchovy Paste // 2 tbsp. Fresh Lemon Juice (~1/2 lemon) // 1.5 tsp. Dijon Mustard // 1 tsp. Worcestershire Sauce // 3/4 cup Mayonnaise // Salt and Pepper to Taste (~1/4 tsp. each)",http://www.ruled.me/keto-5-minute-caesar-dressing/#disqus_thread
5,condiments,Homemade Sambal,http://cdn.ruled.me/wp-content/uploads/2015/03/homemadesambal-700x350.jpg,"1 large Onion, blended // 0.35 oz. Dried Chilis // 3 tbsp. Reduced Sugar Ketchup // 1/2 tsp. Salt (or to taste) // 2 tbsp. Coconut Oil // 1-2 drops Liquid Sucralose (Optional)",http://www.ruled.me/homemade-sambal/#disqus_thread
6,condiments,Homemade Pumpkin Pie Spice,http://cdn.ruled.me/wp-content/uploads/2014/10/pumpkinpiespice-700x350.jpg,2 tbsp. Ground Cinnamon // 1 tbsp. Ground Ginger // 1/2 tsp. Ground Nutmeg // 1/2 tsp. Allspice // 1/2 tsp. Ground Cloves // 1/4 tsp. Cardamom,http://www.ruled.me/homemade-pumpkin-pie-spice/#disqus_thread
7,condiments,Roasted Garlic Chipotle Aioli,http://cdn.ruled.me/wp-content/uploads/2014/08/roastedgarlicchipotleaioli-700x350.jpg,1 tbsp. Roasted Garlic // 1/2 cup Olive Oil // 1/4 cup Sour Cream // 2 large Egg Yolks // 2 tsp. Lemon Juice // 1 tsp. Dijon Mustard // 1/4 tsp. Chipotle Powder // Salt and Pepper to Taste,http://www.ruled.me/roasted-garlic-chipotle-aioli/#disqus_thread
8,condiments,Bacon and Roasted Garlic Spinach Dip,http://cdn.ruled.me/wp-content/uploads/2014/08/baconroastedgarlicspinachdip1-700x350.jpg,"6 slices Bacon // 8 oz. Cream Cheese, softened // 1/2 cup Sour Cream // 5 oz. Fresh Spinach, wilted in bacon grease // 2.5 oz. Parmesan Cheese, grated // 1 1/2 tbsp. Fresh Parsley, chopped // 1 tbsp. Roasted Garlic (recipe here) // 1 tbsp. Lemon Juice // Salt and Pepper to Taste",http://www.ruled.me/bacon-and-roasted-garlic-spinach-dip/#disqus_thread
9,condiments,Bacon and Roasted Garlic Guacamole,http://cdn.ruled.me/wp-content/uploads/2014/08/roastedgarlicbaconguac2-700x350.jpg,"2 medium Hass Avocados // 4 slices Bacon // 1/3 medium Red Bell Pepper // 1/4 small Onion // 1 tbsp. Roasted Garlic (recipe here) // 1/3 cup Cilantro, chopped // Juice 1/2 Lime // Salt and Pepper to Taste",http://www.ruled.me/bacon-and-roasted-garlic-guacamole/#disqus_thread
0,condiments,Oven Roasted Garlic,http://cdn.ruled.me/wp-content/uploads/2014/08/roastedgarlic-700x350.jpg,12 heads Garlic // 1/2 cup Olive Oil,http://www.ruled.me/oven-roasted-garlic/#disqus_thread
1,condiments,Strawberry Chia Seed Jam,http://cdn.ruled.me/wp-content/uploads/2014/07/StrawberryJam-700x350.jpg,"8 oz. Fresh Strawberries // 1/4 cup Erythritol, powdered // 2 tbsp. Chia Seeds // 1/4 cup Water",http://www.ruled.me/strawberry-chia-seed-jam/#disqus_thread
2,condiments,"Simple, Delicious Guacamole",http://cdn.ruled.me/wp-content/uploads/2014/05/SimpleGuacamoleOverhead-700x350.jpg,2 Hass Avocados // 1/3 medium Red Onion // 1 medium Jalapeno // 1/2 bunch Fresh Cilantro // Juice of 1 Lime (1 tbsp.) // Kosher Salt // Freshly Ground Black Pepper // 2 tbsp. Pre-made Salsa,http://www.ruled.me/simple-delicious-guacamole/#disqus_thread
3,condiments,Thick and Sticky Maple Syrup,http://cdn.ruled.me/wp-content/uploads/2014/02/maplesyrup-700x350.jpg,3/4 Cup Water // 1/4 Cup NOW Foods Erythritol (Powdered) // 1 Tbsp. Unsalted Butter // 2 1/4 tsp. Coconut Oil // 2 tsp. Maple Extract // 1/2 tsp. Vanilla Extract // 1/4 tsp. Xanthan Gum // Optional: 1/2 tsp. Cinnamon,http://www.ruled.me/thick-sticky-maple-syrup/#disqus_thread
4,condiments,Keto Friendly Bacon Jam,http://cdn.ruled.me/wp-content/uploads/2014/02/baconjam-700x350.jpg,14 Slices Bacon // 1 Cup Black Coffee // 1 Medium Onion // 3 Tbsp. Apple Cider Vinegar // 1.5 Oz. Scotch (1 Shot) // 2 Tbsp. NOW Erythritol // 1 Tbsp. + 1 tsp. Minced Garlic // 1 Tbsp. Hot Sauce // 1 Tbsp. Soy Sauce // 2 tsp. Liquid Smoke // 1 tsp. Worcestershire // 1 tsp. Black Pepper // 7 Drops Liquid Stevia,http://www.ruled.me/keto-friendly-bacon-jam/#disqus_thread
5,condiments,Homemade Tomato Sauce,http://cdn.ruled.me/wp-content/uploads/2014/01/Homemade_Tomato_Sauce-13.jpg,1 1/2 Cups Jarred Tomato Sauce // 1/4 Cup Red Wine // 1 Green Bell Pepper // 1 Tbsp. Fresh Chopped Thyme // 1 Tbsp. Grass Fed Butter,http://www.ruled.me/homemade-tomato-sauce/#disqus_thread
6,condiments,Tangy Low Carb Tartar Sauce,http://cdn.ruled.me/wp-content/uploads/2013/12/a-a-a25-700x350.jpg,"1/2 cup mayo // 1 Tbsp diced dill pickle // 1 tsp lemon juice, or to taste // 1 tsp finely diced onion (I used 1 green onion) // 1/2 tsp dill weed",http://www.ruled.me/tangy-low-carb-tartar-sauce/#disqus_thread
