,MealType,Title,ImageUrl,Ingredient,DetailUrl
0,dessert,Keto Cookies and Crème Ice Cream,http://cdn.ruled.me/wp-content/uploads/2016/12/CC-finished-image-1.jpg,"3/4 cup almond flour // 1/4 cup cocoa powder // 1/4 tsp. baking soda // 1/4 cup erythritol // 1/2 tsp. vanilla extract // 1 1/2 Tbsp. coconut oil, softened // 1 egg, room temperature // Pinch of salt",http://www.ruled.me/keto-cookies-creme-ice-cream/#disqus_thread
1,dessert,Keto Pumpkin Pudding,http://cdn.ruled.me/wp-content/uploads/2016/12/pumpkinpudding-2.jpg,1/3 cup granulated stevia/erythritol blend // 1 tsp. xanthan gum // 1/2 tsp. pumpkin pie spice // 1/4 cup pumpkin puree // 3 medium egg yolks // 1 tsp. vanilla extract // 1 1/2 cups whipping cream // Pinch of salt,http://www.ruled.me/keto-pumpkin-pudding/#disqus_thread
2,dessert,Keto Gingersnap Cookies,http://cdn.ruled.me/wp-content/uploads/2016/11/Ginglesnap-Cookies-900x600-1.jpg,2 cups almond flour // ¼ cup unsalted butter // 1 cup erythritol // 1 large egg // 1 tsp. vanilla extract // ¼ tsp. salt // 2 tsp. ground ginger // ¼ tsp. ground nutmeg // ¼ tsp. ground cloves // ½ tsp. ground cinnamon,http://www.ruled.me/keto-gingersnap-cookies/#disqus_thread
3,dessert,Pumpkin Fudge,http://cdn.ruled.me/wp-content/uploads/2016/11/pumpkin-fudge-featured.jpg,1 ¾ cups coconut butter // 1 cup pumpkin puree // 1 tsp. ground cinnamon // 1/4 tsp. ground nutmeg // 1 Tbsp. coconut oil,http://www.ruled.me/pumpkin-fudge/#disqus_thread
4,dessert,Keto Chocolate Silk Pie,http://cdn.ruled.me/wp-content/uploads/2016/11/chocolate-silk-pie-featured.jpg,"1 ½ cup almond flour // ½ tsp. baking powder // 1/8 tsp. salt // 1/3 cup granulated stevia/erythritol blend // 3 Tbsp. butter // 1 medium egg // 1 ½ tsp. vanilla extract // 1 tsp. butter, for greasing the pan",http://www.ruled.me/keto-chocolate-silk-pie/#disqus_thread
5,dessert,Keto Mini Vanilla Cloud Cakes,http://cdn.ruled.me/wp-content/uploads/2016/11/cloud-cake-featured.jpg,"6 large eggs, separated // 6 Tbsp. cream cheese, room temperature // 1/2 tsp. cream of tartar // 2 tsp. vanilla extract // 1/4 cup granulated stevia/erythritol mix",http://www.ruled.me/keto-mini-vanilla-cloud-cakes/#disqus_thread
6,dessert,Mini Pumpkin Spice Muffins,http://cdn.ruled.me/wp-content/uploads/2016/10/mini-pumpkin-muffins-featured.jpg,"3/4 cup canned pumpkin // 1/4 cup organic no sugar added sunflower seed butter // 1 large egg, room temperature // 1/2 cup erythritol // 1/4 cup organic coconut flour, sifted // 2 Tbsp. organic flaxseed meal // 1 tsp. ground cinnamon // 1/2 tsp. ground nutmeg // 1/2 tsp. baking soda // 1/2 tsp. baking powder // 1/4 tsp. salt // Optional topping: ½ tsp. plain cream cheese per muffin (you will need 3 Tbsp. of cream cheese for all the muffins.)",http://www.ruled.me/mini-pumpkin-spice-muffins/#disqus_thread
7,dessert,Gingerbread Pumpkin Cheesecake Bars,http://cdn.ruled.me/wp-content/uploads/2016/10/gingerbread_pumpkin_cheesecake_bars_featured_image.jpg,"1 cup coconut flour, sifted // ½ cup erythritol // 1 Tbsp. unsweetened baking cocoa powder // 1 ¼ tsp. ground ginger // 1 tsp. ground cinnamon // ½ tsp. baking soda // ½ tsp. salt // ¼ tsp. ground nutmeg // ½ cup coconut oil // 2 large eggs // 2 tsp. pure vanilla extract",http://www.ruled.me/gingerbread-pumpkin-cheesecake-bars/#disqus_thread
8,dessert,Keto Raspberry Pavlovas,http://cdn.ruled.me/wp-content/uploads/2016/07/RaspberryPavlova.jpg,4 large Egg Whites // 1/2 cup Erythritol // 1 tsp. Vanilla Extract // 1 tsp. Fresh Lemon Juice // 2 tsp. Xanthan Gum,http://www.ruled.me/keto-raspberry-pavlova/#disqus_thread
9,dessert,Keto Amaretti Cookies,http://cdn.ruled.me/wp-content/uploads/2016/03/Amaretti-bite.jpg,1 cup Almond Flour // 2 tbsp. Coconut Flour // 1/2 tsp. Baking Powder // 1/4 tsp. Cinnamon // 1/2 tsp. Salt // 1/2 cup Erythritol // 2 large Eggs // 4 tbsp. Coconut Oil // 1/2 tsp. Vanilla Extract // 1/2 tsp. Almond Extract // 2 tbsp. Sugar-Free Jam // 1 tbsp. Organic Shredded Coconut,http://www.ruled.me/keto-amaretti-cookies/#disqus_thread
0,dessert,No Bake Coconut Cashew Bars,http://cdn.ruled.me/wp-content/uploads/2016/01/Coconut-cashews.jpg,1 cup Almond Flour // 1/4 cup Butter (melted) // 1/4 cup Sugar Free Maple Syrup (like Walden’s Farms or make your own) // 1 tsp. Cinnamon // 1 pinch Salt // 1/2 cup Cashews // 1/4 cup Shredded Coconut,http://www.ruled.me/no-bake-coconut-cashew-bars/#disqus_thread
1,dessert,Low Carb Lemon Poppyseed Soufflés,http://cdn.ruled.me/wp-content/uploads/2016/01/Souffle2.jpg,"1 cup Whole-milk Ricotta // 2 large Eggs, separated // 1/4 cup Erythritol // 2 tsp. Lemon Zest // 1 tbsp. Fresh Lemon Juice // 1 tsp. Vanilla Extract // 1 tsp. Poppy Seeds",http://www.ruled.me/low-carb-lemon-poppyseed-souffles/#disqus_thread
2,dessert,Keto Chocolate Covered Macaroons,http://cdn.ruled.me/wp-content/uploads/2015/12/Macaroons-overhead.jpg,1 cup Shredded Coconut (unsweetened) // 1 large Egg White // 1/4 cup Erythritol // 1/2 tsp. Almond Extract // 1 pinch of Salt // 20 grams Sugar-free Chocolate (Lily’s works great) // 2 tbsp. Coconut Oil,http://www.ruled.me/keto-chocolate-covered-macaroons/#disqus_thread
3,dessert,Keto Chocolate Peanut Butter Tarts,http://cdn.ruled.me/wp-content/uploads/2015/12/Choco-Tarts.jpg,1/4 cup Flaxseeds (or flaxseed meal) // 2 tbsp. Almond Flour // 1 tbsp. Erythritol // 1 large Egg White,http://www.ruled.me/keto-chocolate-peanut-butter-tarts/#disqus_thread
