,MealType,Title,ImageUrl,Ingredient,DetailUrl
0,side items,Brussels Sprouts with Melted Leeks and Prosciutto,http://cdn.ruled.me/wp-content/uploads/2016/12/Skillet-Brussels-Sprouts-with-Melted-Leeks-and-Prosciutto_ldsc2-overhead.jpg,"1/2 cup leeks // 2 cups Brussels sprouts // 1/4 cup coconut oil // 1 cup Prosciutto, chopped",http://www.ruled.me/brussels-sprouts-melted-leeks-prosciutto/#disqus_thread
1,side items,Mashed Cauliflower with Parmesan Cheese and Truffle Oil,http://cdn.ruled.me/wp-content/uploads/2016/12/patmc-1.jpg,"1 lb. cauliflower, cut into small florets or riced // ½ tsp. salt, divided // 2 Tbsp. butter // 1 cup Parmesan cheese, grated // ¼ tsp. freshly ground black pepper // ½ tsp. truffle oil // 1 Tbsp. parsley leaves, packed full // Optional: additional grated Parmesan cheese and parsley for garnish",http://www.ruled.me/mashed-cauliflower-with-parmesan-cheese-and-truffle-oil/#disqus_thread
2,side items,Keto Bread Loaves,http://cdn.ruled.me/wp-content/uploads/2016/12/Keto-Bread-ldsc-1-ed.jpg,"6 large eggs, at room temperature // 1 cup coconut flour, sifted // ½ cup flaxseed meal // 1 tsp. salt // 1 tsp. baking powder // ½ tsp. baking soda // ½ cup water // 1 Tbsp. apple cider vinegar",http://www.ruled.me/keto-bread-loaves/#disqus_thread
3,side items,Low Carb Irish Colcannon,http://cdn.ruled.me/wp-content/uploads/2016/12/Colcannon-ldsc1_.jpg,"3 cups cauliflower florets // 1 cup frozen spinach, thawed // 1/4 cup cream // 1/2 medium avocado // 4 Tbsp. butter // 1/2 cup sour cream, plus additional for topping // 1/2 tsp. salt // Fresh black pepper, to taste",http://www.ruled.me/low-carb-irish-colcannon/#disqus_thread
4,side items,Pesto Keto Crackers,http://cdn.ruled.me/wp-content/uploads/2016/12/keto_pesto_crackers_featured.jpg,"1 1/4 cups almond flour // 1/4 tsp. ground black pepper // 1/2 tsp. salt // 1/2 tsp. baking powder // 1/4 tsp. dried basil // Pinch of cayenne pepper // 1 clove  garlic, pressed // 2 Tbsp. basil pesto // 3 Tbsp. butter",http://www.ruled.me/pesto-keto-crackers/#disqus_thread
5,side items,Savory Sage and Cheddar Waffles,http://cdn.ruled.me/wp-content/uploads/2016/11/waffles-featured.jpg,"1 1/3 cup coconut flour, sifted // 3 tsp. baking powder // 1 tsp. dried ground sage // ½ tsp. salt // ¼ tsp. garlic powder // 2 cups canned coconut milk // ½ cup water // 2 whole eggs // 3 Tbsp. coconut oil, melted // 1 cup cheddar cheese, shredded",http://www.ruled.me/savory-sage-cheddar-waffles/#disqus_thread
6,side items,Warm Asian Broccoli Salad,http://cdn.ruled.me/wp-content/uploads/2016/10/warm-asian-broccoli-salad-featured.jpg,"12 oz. bag broccoli slaw // 2 Tbsp. coconut oil // 1 Tbsp. coconut aminos // 1 tsp. fresh ginger, grated // ½ tsp. salt // ¼ tsp. pepper // ½ cup full fat plain goat milk yogurt // ½ Tbsp. sesame seeds // Cilantro, as an optional garnish",http://www.ruled.me/warm-asian-broccoli-salad/#disqus_thread
7,side items,Low Carb Cauliflower Mushroom Risotto,http://cdn.ruled.me/wp-content/uploads/2015/12/Mushroom-Risotto.jpg,"1 tbsp. Olive Oil // 2 cloves Garlic // 4 medium Baby Bella Mushrooms // 1 cup Chicken Broth // 2 cups Cauliflower, riced // 1/4 cup Heavy Cream // 1/4 cup Parmesan Cheese // 1 tsp. Tarragon // Salt and Pepper to taste",http://www.ruled.me/low-carb-cauliflower-mushroom-risotto/#disqus_thread
8,side items,10 Minute Keto Country Gravy,http://cdn.ruled.me/wp-content/uploads/2015/06/10minutecountrygravy-700x350.jpg,4 oz. Breakfast Sausage // 2 tbsp. Butter // 1 cup Heavy Cream // 1/2 tsp. Guar Gum // Salt and Pepper to Taste,http://www.ruled.me/10-minute-keto-country-gravy/#disqus_thread
9,side items,Keto Mushroom Wild Rice Pilaf,http://cdn.ruled.me/wp-content/uploads/2015/06/muchroomwildricepilaf-700x350.jpg,1 cup Hemp Seeds // 2 tbsp. Butter // 3 medium Mushrooms // 1/4 cup Sliced Almonds // 1/2 cup Chicken Broth // 1/2 tsp. Garlic Powder // 1/4 tsp. Dried Parsley // Salt and Pepper to Taste,http://www.ruled.me/keto-mushroom-wild-rice-pilaf/#disqus_thread
