,MealType,Title,ImageUrl,Ingredient,DetailUrl
0,snacks,Pesto Keto Crackers,http://cdn.ruled.me/wp-content/uploads/2016/12/keto_pesto_crackers_featured.jpg,"1 1/4 cups almond flour // 1/4 tsp. ground black pepper // 1/2 tsp. salt // 1/2 tsp. baking powder // 1/4 tsp. dried basil // Pinch of cayenne pepper // 1 clove  garlic, pressed // 2 Tbsp. basil pesto // 3 Tbsp. butter",http://www.ruled.me/pesto-keto-crackers/#disqus_thread
1,snacks,Mini Pumpkin Spice Muffins,http://cdn.ruled.me/wp-content/uploads/2016/10/mini-pumpkin-muffins-featured.jpg,"3/4 cup canned pumpkin // 1/4 cup organic no sugar added sunflower seed butter // 1 large egg, room temperature // 1/2 cup erythritol // 1/4 cup organic coconut flour, sifted // 2 Tbsp. organic flaxseed meal // 1 tsp. ground cinnamon // 1/2 tsp. ground nutmeg // 1/2 tsp. baking soda // 1/2 tsp. baking powder // 1/4 tsp. salt // Optional topping: ½ tsp. plain cream cheese per muffin (you will need 3 Tbsp. of cream cheese for all the muffins.)",http://www.ruled.me/mini-pumpkin-spice-muffins/#disqus_thread
2,snacks,Raspberry Lemon Popsicles,http://cdn.ruled.me/wp-content/uploads/2015/07/raspberrylemonpopsicles-700x350.jpg,100g Raspberries // Juice 1/2 Lemon // 1/4 cup Coconut Oil // 1 cup Coconut Milk (from the carton) // 1/4 cup Sour Cream // 1/4 cup Heavy Cream // 1/2 tsp. Guar Gum // 20 drops Liquid Stevia,http://www.ruled.me/raspberry-lemon-popsicles/#disqus_thread
3,snacks,Neapolitan Fat Bombs,http://cdn.ruled.me/wp-content/uploads/2015/06/neopolitanfatbombs-700x350.jpg,1/2 cup Butter // 1/2 cup Coconut Oil // 1/2 cup Sour Cream // 1/2 cup Cream Cheese // 2 tbsp. Erythritol // 25 drops Liquid Stevia // 2 tbsp. Cocoa Powder // 1 tsp. Vanilla Extract // 2 medium Strawberries,http://www.ruled.me/neapolitan-fat-bombs/#disqus_thread
4,snacks,Coconut Orange Creamsicle Fat Bombs,http://cdn.ruled.me/wp-content/uploads/2015/05/coconutorangecreamsiclefatbombs-700x350.jpg,1/2 cup Coconut Oil // 1/2 cup Heavy Whipping Cream // 4 oz. Cream Cheese // 1 tsp. Orange Vanilla Mio // 10 drops Liquid Stevia,http://www.ruled.me/coconut-orange-creamsicle-fat-bombs/#disqus_thread
5,snacks,Savory Pizza Fat Bombs,http://cdn.ruled.me/wp-content/uploads/2015/05/pizzafatbombs-700x350.jpg,"4 oz. Cream Cheese // 14 slices Pepperoni // 8 pitted Black Olives // 2 tbsp. Sun Dried Tomato Pesto // 2 tbsp. Fresh Basil, chopped // Salt and Pepper to Taste",http://www.ruled.me/savory-pizza-fat-bombs/#disqus_thread
6,snacks,No Bake Chocolate Peanut Butter Fat Bombs,http://cdn.ruled.me/wp-content/uploads/2015/04/nobakepbfatbombs1-700x350.jpg,1/2 cup Coconut Oil // 1/4 cup Cocoa Powder // 4 tbsp. PB Fit Powder // 6 tbsp. Shelled Hemp Seeds // 2 tbsp. Heavy Cream // 1 tsp. Vanilla Extract // 28 drops Liquid Stevia // 1/4 cup Unsweetened Shredded Coconut,http://www.ruled.me/no-bake-chocolate-peanut-butter-fat-bombs/#disqus_thread
7,snacks,Keto Tortilla Chips,http://cdn.ruled.me/wp-content/uploads/2015/02/ketotortillachips2-700x350.jpg,"6 Flaxseed Tortillas (Recipe Here) // Oil for Deep Frying, (~3 tbsp. Absorbed Oil) // Salt and Pepper to Taste",http://www.ruled.me/keto-tortilla-chips/#disqus_thread
8,snacks,Jalapeno Popper Fat Bombs,http://cdn.ruled.me/wp-content/uploads/2015/02/jalapenopopperfatbombs-700x350.jpg,Maple Pecan Fat Bomb Bars // Almond Butter Chia Squares // Chai Spice Mug Cake // Double Peanut Butter Balls,http://www.ruled.me/jalapeno-popper-fat-bombs/#disqus_thread
9,snacks,Keto Cheeseburger Muffins,http://cdn.ruled.me/wp-content/uploads/2015/01/cheeseburgermuffins2-700x350.jpg,1/2 cup Blanched Almond Flour // 1/2 cup Flaxseed Meal // 1 tsp. Baking Powder // 1/2 tsp. Salt // 1/4 tsp. Pepper // 2 large Eggs // 1/4 cup Sour Cream,http://www.ruled.me/keto-cheeseburger-muffins/#disqus_thread
